SYMBOL	G1	G2	G3
CXCL16	-15.0608133633394	-18.5478444764416	-24.1080616134727
CYB5R2	34.7961213311869	66.7367162397732	97.9080174149809
CYP1A2	5.99932565951466	18.2431748761109	28.7127614974473
DBF4B	-29.7918182536665	-36.6221632629358	-63.6357751282635
DBNDD2	32.539383875158	45.3873611409993	53.5920403953771
DDIT3	-13.9513822505463	-17.5596372517491	-29.8263550653119
DDR1	-27.9066143533598	-29.5968977550599	-49.0413525822039
DEGS1	-36.7784504250138	-35.6131736502828	-55.237006594814
DEPDC5	-13.7212575480284	-17.4243987791705	-28.8073435498841
DHX57	-11.0806578827087	-20.2785459267338	-19.5752052531106
DLEU7	14.5278660242161	32.4322881746751	37.7627093878419
DMP1	-41.6279426629897	-29.7861175647196	-20.9589432427178
DMRT3	20.2271373166563	18.8401224326224	31.9915730028214
DMRTA2	12.1410507660858	27.6869299841791	35.4407911743138
DMXL1	-14.8297516629206	-15.4070352559452	-28.7345003413372
DNAJC5	-28.5757359617432	-9.53198775422674	-5.8350584382498
DSCR6	31.5675308321697	51.109483495104	68.1661723020239
DSE	19.9737243698891	19.3033046378749	35.9321562211519
DUSP10	10.1988844963677	13.8269329947783	40.3709517034193
DUSP6	-38.8698546748262	-24.8163227697787	-23.7528789414658
E2F2	-28.6502414461591	-35.901269037094	-41.7856329565079
E2F6	-35.0975249553811	-40.4132753535149	-54.6634608115846
EFHA1	-12.8247927752685	-16.3904695683876	-26.9908167535072
ELMO1	-44.2792671829462	-33.730622130892	-20.2889509418996
ENO1	-26.2868940764539	-35.3214687115231	-54.2086004212068
ERRFI1	26.3480445421737	7.13827012094371	9.9684266284368
ETV2	-19.3234955884409	-14.8253968061372	-30.1974612235711
EVX1	18.3728516135187	44.5433516791625	55.4092799160999
EXOC3L2	18.4663255920517	29.8716279785496	28.6107918516598
FAM103A1	-24.1847935018727	-22.9144981754172	-19.3785381261479
FAM120B	-19.3132074101982	-19.2672697174755	-23.7519777275553
FAM186A	-13.5837526906206	-20.3388323116934	-31.6518571802216
FAM195B	-12.637027725191	-9.63337731602856	-30.722722429719
FAM196A	18.3682537932939	36.2151674706232	50.5619078269659
FAM84B	-24.0673118125137	-25.4437799158777	-30.4223205511044
FAM91A1	-20.9500954550388	-24.6980463900235	-25.012243673541
FCGR3A	-49.6672327972361	-29.0307776347844	-24.8459794624139
FDX1	-18.8547496404864	-17.8214426619221	-15.9517176597577
FGFR1OP	-11.2012655991467	-16.9518391136223	-27.6416730482997
FGL1	-44.9541764496053	-49.3290405422768	-75.036709510937
FLYWCH2	-7.66044272998048	-0.967195688977479	-8.88001854166391
FOXP1	-27.6956013649011	-37.4666713262067	-57.8874262444734
FREM1	-32.9381592047412	-22.3980520777222	-10.839746676237
FSD1	-52.2127999764582	-31.7944801850589	-11.1314045535381
FSTL4	-27.2481974945574	-15.1446226674894	-13.5327788876574
GALNTL4	-23.5058678306126	-26.0279473204193	-32.7846264702355
