 G2 G3 sum
NEURL3 0.0017254389666424542 0.0017254389666424151 0.0034508779332848693
TBX4 0.001719947195726653 0.0017199471957267064 0.0034398943914533595
RTBDN 0.001717378840496521 0.001717378840496506 0.003434757680993027
C12orf61 0.001713776503472707 0.0017137765034727591 0.003427553006945466
GPR116 0.0017117966383869774 0.0017117966383869813 0.0034235932767739587
C6orf145 0.0017081027252724465 0.0017081027252724382 0.0034162054505448847
SERINC5 0.0017022975083221825 0.0017022975083221654 0.003404595016644348
LIMS2 0.0017011448762558723 0.0017011448762558768 0.0034022897525117493
CBY3 0.0017000311032476176 0.001700031103247642 0.00340006220649526
EXOC3L2 0.0016999776604543263 0.0016999776604544128 0.0033999553209087393
HAPLN2 0.001697371129816179 0.0016973711298159527 0.003394742259632132
ZNF28 0.0016946691957044507 0.0016946691957044073 0.003389338391408858
SIX3 0.0016908831316915414 0.0016908831316915201 0.0033817662633830615
PRPF31 0.0016833036745276034 0.0016833036745276364 0.0033666073490552398
LYPD3 0.0016665849416927282 0.0016665849416927967 0.003333169883385525
SPAG1 0.0016665364606614857 0.0016665364606615295 0.003333072921323015
ABLIM3 0.0016652423474980069 0.0016652423474979722 0.003330484694995979
GRPEL1 0.0016505726674296314 0.0016505726674296665 0.003301145334859298
SCG5 0.0016448404785051156 0.001644840478505159 0.0032896809570102745
MTRF1L 0.001642203722919016 0.0016422037229189355 0.0032844074458379512
XRCC5 0.001639826732119298 0.0016398267321192724 0.0032796534642385703
ERRFI1 0.0016379830502843847 0.0016379830502843977 0.0032759661005687824
PKMYT1 0.0016372244025497414 0.0016372244025497384 0.00327444880509948
RPL27 0.0016357354039590194 0.001635735403959019 0.0032714708079180383
C21orf56 0.0016223051398792665 0.0016223051398792554 0.003244610279758522
ZNF239 0.0016154948304907043 0.0016154948304906345 0.0032309896609813388
IKZF2 0.0016129050103760238 0.0016129050103759796 0.0032258100207520034
RAB33B 0.0016120792895227983 0.0016120792895227775 0.0032241585790455758
ADORA1 0.0016078014356866403 0.001607801435686641 0.0032156028713732814
ADAMTSL4 0.0016060374541538853 0.0016060374541538983 0.0032120749083077837
RPP38 0.001587732774303896 0.0015877327743038599 0.003175465548607756
AQP10 0.001585139724769798 0.0015851397247698094 0.0031702794495396076
PPP2R5A 0.0015794135436472544 0.0015794135436472383 0.0031588270872944927
PGCP 0.0015784334486960328 0.0015784334486960792 0.003156866897392112
SLC38A2 0.0015761378363169727 0.0015761378363169647 0.0031522756726339377
MAN1C1 0.0015744751683419908 0.0015744751683419503 0.0031489503366839413
ZNF862 0.0015737237125750495 0.0015737237125750861 0.003147447425150136
MUC13 0.0015724791257435392 0.0015724791257436005 0.00314495825148714
C2orf65 0.0015713868629346154 0.0015713868629345447 0.00314277372586916
CRTAC1 0.001568236248211862 0.00156823624821185 0.003136472496423712
PRR15 0.0015662657900514278 0.0015662657900514655 0.0031325315801028933
GPRIN2 0.0015645172393126642 0.0015645172393126301 0.003129034478625294
MKL1 0.0015629307265520227 0.0015629307265520125 0.003125861453104035
TCIRG1 0.001562903822235557 0.0015629038222355258 0.003125807644471083
CSNK1G2 0.0015603383453313743 0.0015603383453313528 0.003120676690662727
UGT2B15 0.001557187052374295 0.0015571870523743343 0.0031143741047486295
PRR23C 0.0015470087259494784 0.001547008725949505 0.0030940174518989836
GTF3C1 0.0015456324941862856 0.001545632494186261 0.003091264988372547
CHMP4C 0.0015439592036479352 0.0015439592036479656 0.003087918407295901
PAK6 0.001543748468198819 0.0015437484681988032 0.003087496936397622
OR9Q1 0.0015413846012569212 0.0015413846012570244 0.0030827692025139457
NCRNA00114 0.0015406765994429457 0.001540676599442924 0.00308135319888587
YAP1 0.0015387920026007755 0.0015387920026007603 0.0030775840052015358
TCEB1 0.0015374062088022275 0.0015374062088022867 0.003074812417604514
PITPNM2 0.0015309872904318898 0.0015309872904319935 0.0030619745808638833
ZNF227 0.0015283899137603465 0.0015283899137602838 0.00305677982752063
ZCCHC17 0.001523760268504554 0.0015237602685046051 0.003047520537009159
YTHDF2 0.0015228375262632931 0.0015228375262632933 0.0030456750525265867
C12orf51 0.001522078275164318 0.0015220782751642784 0.003044156550328596
CTXN3 0.0015217565561622486 0.0015217565561622258 0.0030435131123244747
FOXP1 0.0015211177306969515 0.0015211177306969272 0.0030422354613938787
GLOD4 0.001511025104275753 0.0015110251042757552 0.003022050208551508
ZNF167 0.0015055049185151966 0.001505504918515262 0.0030110098370304587
CCDC64 0.0015045918276193095 0.0015045918276192839 0.0030091836552385933
AGFG1 0.0015041264914806792 0.0015041264914806983 0.0030082529829613775
EVX1 0.001499659859524528 0.0014996598595245119 0.00299931971904904
LTBP1 0.001495216159889553 0.0014952161598896362 0.002990432319779189
AURKA 0.001486170536057037 0.0014861705360570527 0.0029723410721140897
HMGN3 0.001484874070826633 0.0014848740708266633 0.002969748141653296
BCDIN3D 0.0014768882261092819 0.0014768882261093626 0.0029537764522186444
DUSP6 0.001475469002972686 0.001475469002972682 0.002950938005945368
TBXAS1 0.001474711609048774 0.0014747116090487683 0.0029494232180975423
SMPD3 0.0014608188986694637 0.001460818898669454 0.0029216377973389175
CHRNA10 0.0014582088224267327 0.0014582088224266985 0.002916417644853431
